Date : 2026-03-12 00:45:41
Directory : /Users/mingmatenzingsherpa/Documents/programming/RestoQuick_Nuxt
Total : 220 files,  35297 codes, 676 comments, 3065 blanks, all 39038 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     22,980 |          0 |          4 |     22,984 |
| Vue                |         94 |      8,257 |        322 |      2,396 |     10,975 |
| TypeScript         |         92 |      3,270 |        207 |        439 |      3,916 |
| PostCSS            |          1 |        220 |          6 |         28 |        254 |
| Markdown           |          1 |        193 |          0 |         82 |        275 |
| MS SQL             |         25 |        175 |        123 |         73 |        371 |
| Prisma             |          1 |        170 |         17 |         38 |        225 |
| JSON with Comments |          1 |         17 |          1 |          1 |         19 |
| YAML               |          1 |         14 |          0 |          3 |         17 |
| XML                |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                           |        220 |     35,297 |        676 |      3,065 |     39,038 |
| . (Files)                                                                                                                                                                                                                   |          9 |     23,631 |          3 |        108 |     23,742 |
| app                                                                                                                                                                                                                         |        117 |      9,722 |        369 |      2,558 |     12,649 |
| app (Files)                                                                                                                                                                                                                 |          1 |          9 |          0 |          8 |         17 |
| app/assets                                                                                                                                                                                                                  |          2 |        221 |          6 |         29 |        256 |
| app/assets/css                                                                                                                                                                                                              |          1 |        220 |          6 |         28 |        254 |
| app/assets/images                                                                                                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| app/client_utils                                                                                                                                                                                                            |          4 |         61 |          2 |         15 |         78 |
| app/components                                                                                                                                                                                                              |         65 |      5,039 |        212 |      1,378 |      6,629 |
| app/components/Dashboard_components                                                                                                                                                                                         |          9 |        609 |          1 |         91 |        701 |
| app/components/booking_components                                                                                                                                                                                           |          3 |        424 |         37 |         96 |        557 |
| app/components/home_components                                                                                                                                                                                              |          8 |        526 |          5 |         86 |        617 |
| app/components/kitchenDisplay_components                                                                                                                                                                                    |          4 |        253 |         23 |        173 |        449 |
| app/components/kitchenDisplay_components (Files)                                                                                                                                                                            |          2 |         87 |         13 |         60 |        160 |
| app/components/kitchenDisplay_components/Completed_Orders                                                                                                                                                                   |          2 |        166 |         10 |        113 |        289 |
| app/components/manage_table_components                                                                                                                                                                                      |          4 |        205 |          0 |         93 |        298 |
| app/components/menu_components                                                                                                                                                                                              |          4 |        492 |          0 |         85 |        577 |
| app/components/order_dashboard_components                                                                                                                                                                                   |          2 |        123 |          0 |         33 |        156 |
| app/components/pos_components                                                                                                                                                                                               |          1 |         27 |          0 |         11 |         38 |
| app/components/qr_order_components                                                                                                                                                                                          |          2 |        104 |         19 |         41 |        164 |
| app/components/roster_components                                                                                                                                                                                            |          9 |        806 |         81 |        385 |      1,272 |
| app/components/staff_components                                                                                                                                                                                             |          5 |        711 |         37 |        162 |        910 |
| app/components/stock_components                                                                                                                                                                                             |          9 |        542 |          8 |         84 |        634 |
| app/components/ui                                                                                                                                                                                                           |          4 |        109 |          1 |         18 |        128 |
| app/components/vapi                                                                                                                                                                                                         |          1 |        108 |          0 |         20 |        128 |
| app/composables                                                                                                                                                                                                             |         15 |        561 |         25 |        100 |        686 |
| app/layouts                                                                                                                                                                                                                 |          1 |         54 |          3 |         31 |         88 |
| app/lib                                                                                                                                                                                                                     |          2 |        622 |         14 |         18 |        654 |
| app/pages                                                                                                                                                                                                                   |         27 |      3,155 |        107 |        979 |      4,241 |
| app/pages (Files)                                                                                                                                                                                                           |          3 |        654 |          3 |        137 |        794 |
| app/pages/dashboard                                                                                                                                                                                                         |         21 |      2,260 |         81 |        668 |      3,009 |
| app/pages/dashboard (Files)                                                                                                                                                                                                 |          8 |        749 |         33 |        370 |      1,152 |
| app/pages/dashboard/orders                                                                                                                                                                                                  |          2 |        383 |          7 |         56 |        446 |
| app/pages/dashboard/roster                                                                                                                                                                                                  |          4 |        196 |          9 |         61 |        266 |
| app/pages/dashboard/staff                                                                                                                                                                                                   |          1 |        283 |         14 |         36 |        333 |
| app/pages/dashboard/stock                                                                                                                                                                                                   |          4 |        407 |          8 |         81 |        496 |
| app/pages/dashboard/stock (Files)                                                                                                                                                                                           |          3 |        282 |          8 |         55 |        345 |
| app/pages/dashboard/stock/update                                                                                                                                                                                            |          1 |        125 |          0 |         26 |        151 |
| app/pages/dashboard/tables                                                                                                                                                                                                  |          2 |        242 |         10 |         64 |        316 |
| app/pages/order-table                                                                                                                                                                                                       |          3 |        241 |         23 |        174 |        438 |
| app/pages/order-table (Files)                                                                                                                                                                                               |          1 |        129 |         22 |         98 |        249 |
| app/pages/order-table/checkout                                                                                                                                                                                              |          2 |        112 |          1 |         76 |        189 |
| prisma                                                                                                                                                                                                                      |         26 |        345 |        140 |        111 |        596 |
| prisma (Files)                                                                                                                                                                                                              |          1 |        170 |         17 |         38 |        225 |
| prisma/migrations                                                                                                                                                                                                           |         25 |        175 |        123 |         73 |        371 |
| prisma/migrations/20251110061727_init                                                                                                                                                                                       |          1 |         16 |          4 |          6 |         26 |
| prisma/migrations/20251110064400_init                                                                                                                                                                                       |          1 |          1 |          7 |          1 |          9 |
| prisma/migrations/20251110143245                                                                                                                                                                                            |          1 |         37 |         18 |         14 |         69 |
| prisma/migrations/20251120035811_added_booking_schema                                                                                                                                                                       |          1 |         23 |          5 |          7 |         35 |
| prisma/migrations/20251120040402_removed_table_location_from_booking                                                                                                                                                        |          1 |          1 |          7 |          1 |          9 |
| prisma/migrations/20251205013948_added_orders_schema                                                                                                                                                                        |          1 |         25 |          6 |          8 |         39 |
| prisma/migrations/20251205053810_added_menuitme                                                                                                                                                                             |          1 |         13 |          4 |          5 |         22 |
| prisma/migrations/20251209073346_added_ordertype_to_order_table                                                                                                                                                             |          1 |          2 |          2 |          2 |          6 |
| prisma/migrations/20251216020406                                                                                                                                                                                            |          1 |          2 |          8 |          2 |         12 |
| prisma/migrations/20251216021232_made_order_number_nullable                                                                                                                                                                 |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251220075747_all_the_prices_are_changed_to_integer_and_changed_the_price_to_cents_from_dollar                                                                                                           |          1 |          6 |         13 |          3 |         22 |
| prisma/migrations/20251225071737_added_checkout_session_id_in_order_model                                                                                                                                                   |          1 |          2 |          9 |          2 |         13 |
| prisma/migrations/20251226050459_removed_the_order_number_cause_no_need_for_it                                                                                                                                              |          1 |          2 |          8 |          2 |         12 |
| prisma/migrations/20251230031205_added_customer_name_in_order                                                                                                                                                               |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20251230031325_removed_the_default_value_for_customername_in_orderschema                                                                                                                                  |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20260116034846_added_profile_photo_url_in_staff                                                                                                                                                           |          1 |          1 |          1 |          1 |          3 |
| prisma/migrations/20260116035250_added_availablility_weekday_enum                                                                                                                                                           |          1 |          3 |          8 |          2 |         13 |
